TaxonName,covariate,Mean,quant_2_5,quant_97_5,invader,psrf,ess,Habitat,cov2,habitat_num,tax_num,sig,sig_reliable
Micranthemum glomeratum,net,-0.07671289068447233,-0.17671199543458435,0.027697209596401602,hydrilla,1.0987857616474441,2534.277983013402,submersed,mgmt. + cover,3,332,no,no
Micranthemum umbrosum,cover,-0.07873347053269092,-0.17950440376427923,0.0144563897100392,hydrilla,1.0382223267988524,2159.6454444912833,emersed,hydrilla cover,1,133,no,no
Micranthemum umbrosum,management,9.081231448084421e-4,-0.11260586838355358,0.11266778401209804,hydrilla,1.001359309383057,3022.4768534463046,emersed,hydrilla mgmt.,1,133,no,no
Micranthemum umbrosum,net,-0.01863133189675313,-0.12929511439344132,0.09367175457443841,hydrilla,1.0382223267988524,2159.6454444912833,emersed,mgmt. + cover,1,133,no,no
Myriophyllum laxum/pinnatum,cover,0.01370325084425539,-0.1024045479882207,0.12012912232098497,hydrilla,1.0038673383210512,1841.440035754893,submersed,hydrilla cover,3,334,no,no
Myriophyllum laxum/pinnatum,management,0.213710430951226,0.041007667219424324,0.38454517841459207,hydrilla,1.004420742290354,1968.7959919343045,submersed,hydrilla mgmt.,3,334,yes,yes
Myriophyllum laxum/pinnatum,net,0.19623561793259958,0.021547988090839354,0.3714412389583599,hydrilla,1.228509503292917,489.1661717958992,submersed,mgmt. + cover,3,334,yes,no
Najas guadalupensis,cover,0.033493424216671654,-0.024397183960445337,0.08927298704751573,hydrilla,1.0430658202591876,3873.8551414639846,submersed,hydrilla cover,3,335,no,no
Najas guadalupensis,management,0.355163011921584,0.2610833333262119,0.4502446610703341,hydrilla,1.1231383347411095,3000.000000000001,submersed,hydrilla mgmt.,3,335,yes,no
Najas guadalupensis,net,0.27859066830703944,0.18960041021569696,0.36684560717942827,hydrilla,1.1231383347411095,3873.8551414639846,submersed,mgmt. + cover,3,335,yes,no
Nelumbo lutea,cover,0.049184618540107694,-0.0346506614282042,0.1461922556259924,hydrilla,1.6041187842269342,2890.3137136116648,emersed,hydrilla cover,1,136,no,no
Nelumbo lutea,management,0.10595291154926692,-0.03545726887895298,0.2470010314026305,hydrilla,1.033025457915054,2473.8832284760956,emersed,hydrilla mgmt.,1,136,no,no
Nelumbo lutea,net,0.13589542083471184,-0.001142876116873005,0.26912124085662525,hydrilla,1.79524155472726,378.5423164003794,emersed,mgmt. + cover,1,136,no,no
Nitella spp.,cover,0.025526725544997124,-0.05238807367969832,0.09742017860042956,hydrilla,1.0559749092014068,2874.522678223363,submersed,hydrilla cover,3,337,no,no
Nitella spp.,management,0.12042045647545091,0.010852219349275919,0.23243250443213706,hydrilla,0.9991438182976767,2637.542088438322,submersed,hydrilla mgmt.,3,337,yes,yes
Nitella spp.,net,0.1636068665257597,0.055064461693311924,0.27497771091274564,hydrilla,1.0559749092014068,2637.542088438322,submersed,mgmt. + cover,3,337,yes,yes
Nuphar advena,cover,0.01095134932526641,-0.05901296852737189,0.08051536222799004,hydrilla,1.0219044342475685,3000,emersed,hydrilla cover,1,138,no,no
Nuphar advena,management,0.08395589137755843,-0.03205777807349999,0.2046496009239776,hydrilla,1.0116779304265036,2529.6550947190053,emersed,hydrilla mgmt.,1,138,no,no
Nuphar advena,net,0.09652436124589232,-0.017051794689789363,0.21031457669284315,hydrilla,1.0219044342475685,2512.6505134569898,emersed,mgmt. + cover,1,138,no,no
Nymphaea mexicana,cover,0.043840769062166475,-0.028362570484872097,0.11128275339168588,hydrilla,1.0061558644290853,2898.310047795257,emersed,hydrilla cover,1,139,no,no
Nymphaea mexicana,management,0.007006272507597717,-0.12828854693458638,0.1459548205947257,hydrilla,1.1040702723951894,2497.536396985322,emersed,hydrilla mgmt.,1,139,no,no
Nymphaea mexicana,net,0.060186184330101575,-0.06366065788750572,0.18591868522339147,hydrilla,1.1040702723951894,1656.7774824252601,emersed,mgmt. + cover,1,139,no,no
Nymphaea odorata,cover,0.10002800592388154,0.030534588546460815,0.17000648017144523,hydrilla,0.999815992229219,3000,emersed,hydrilla cover,1,140,yes,yes
Nymphaea odorata,management,0.21931540288841544,0.11338906627765438,0.32594437954643907,hydrilla,1.0052509749472243,2500.1418656119313,emersed,hydrilla mgmt.,1,140,yes,yes
Nymphaea odorata,net,0.25405969732615813,0.15092695270872405,0.352170496483743,hydrilla,1.0052509749472243,2500.1418656119313,emersed,mgmt. + cover,1,140,yes,yes
Nymphoides aquatica,cover,0.004903786946291011,-0.08378127609519276,0.09713105836149973,hydrilla,1.1177855043124607,2326.1353507604604,emersed,hydrilla cover,1,141,no,no
Nymphoides aquatica,management,0.06092974865338847,-0.07016604377346045,0.1948185808190043,hydrilla,1.0692068224574909,2804.6033798562535,emersed,hydrilla mgmt.,1,141,no,no
Nymphoides aquatica,net,0.14614516518617218,0.018975359515299613,0.26843297032792107,hydrilla,1.1177855043124607,1968.790690315609,emersed,mgmt. + cover,1,141,yes,no
Panicum hemitomon,cover,-0.024296918219142743,-0.08552726349253167,0.0382489475885944,hydrilla,1.0337696436320016,2792.2862500938145,emersed,hydrilla cover,1,142,no,no
Panicum hemitomon,management,0.14388888795564694,0.035468232105516924,0.2555736033576572,hydrilla,0.9997087910394694,3000,emersed,hydrilla mgmt.,1,142,yes,yes
Panicum hemitomon,net,0.16797618639352851,0.06098237525181213,0.2741968391419789,hydrilla,1.0337696436320016,2433.7567665457436,emersed,mgmt. + cover,1,142,yes,yes
Paspalidium geminatum,cover,-0.059371138570405664,-0.14529352206897936,0.047833545925056474,hydrilla,2.1642370743950963,1958.7092986662433,emersed,hydrilla cover,1,143,no,no
Paspalidium geminatum,management,0.3264241477598753,0.1730436539842292,0.44968921497719155,hydrilla,1.912156428343799,2846.907364987019,emersed,hydrilla mgmt.,1,143,yes,no
Paspalidium geminatum,net,0.2473272431158221,0.134810412604779,0.3512614640060537,hydrilla,2.1901332274703575,1529.6782856501457,emersed,mgmt. + cover,1,143,yes,no
Paspalum repens,cover,0.03333314998875303,-0.047770770045724546,0.11315289864052398,hydrilla,1.0303112961488847,3081.3615976711944,emersed,hydrilla cover,1,144,no,no
Paspalum repens,management,-0.0249816546723237,-0.17390309140259252,0.1299899738702042,hydrilla,1.148000130358928,2627.0220566769517,emersed,hydrilla mgmt.,1,144,no,no
Paspalum repens,net,0.013904589079106133,-0.12229235689511425,0.15200543012820597,hydrilla,1.148000130358928,1628.3511015002355,emersed,mgmt. + cover,1,144,no,no
Peltandra spp.,cover,-0.03181515421974073,-0.12916389692638133,0.0656378638088945,hydrilla,1.0013470749022488,2315.9724224012443,emersed,hydrilla cover,1,145,no,no
Peltandra spp.,management,-0.1341024818592563,-0.2782935381191311,0.011424907631827954,hydrilla,1.0019632342388287,1948.6978413516536,emersed,hydrilla mgmt.,1,145,no,no
Peltandra spp.,net,-0.13358378004662036,-0.27182760163658465,0.009119869543687705,hydrilla,1.4054442065226915,748.3051948221113,emersed,mgmt. + cover,1,145,no,no
Phragmites australis,cover,-0.05930965097944067,-0.16860723307925093,0.05982828819434092,hydrilla,1.6785994388191507,2777.4997246094717,emersed,hydrilla cover,1,146,no,no
Phragmites australis,management,0.05954835768515531,-0.20335763043062768,0.268602715950162,hydrilla,2.403017150071857,2006.0478015623655,emersed,hydrilla mgmt.,1,146,no,no
Phragmites australis,net,-0.11007058365126846,-0.3090552240702266,0.06788317804051505,hydrilla,2.9557740445816085,1005.9937795191133,emersed,mgmt. + cover,1,146,no,no
Pontederia cordata,cover,0.16235489561634814,0.0725354619812032,0.25936684790755365,hydrilla,0.9994864887079207,2707.160213758,emersed,hydrilla cover,1,147,yes,yes
Pontederia cordata,management,0.0651395246162233,-0.07022673845044412,0.20192615921597135,hydrilla,1.0089939883083467,2538.5632450497737,emersed,hydrilla mgmt.,1,147,no,no
Pontederia cordata,net,0.07165026469324041,-0.05665972187664441,0.19855391023262967,hydrilla,1.0165149908432078,2538.5632450497737,emersed,mgmt. + cover,1,147,no,no
Potamogeton illinoensis,cover,0.2014683842925632,0.1251680431199243,0.28076955923919755,hydrilla,1.0668664843327664,2825.687633419258,submersed,hydrilla cover,3,348,yes,yes
Potamogeton illinoensis,management,0.22437638657843434,0.10712608833832235,0.3428629074589682,hydrilla,1.0115397193950035,2905.389927519889,submersed,hydrilla mgmt.,3,348,yes,yes
Potamogeton illinoensis,net,0.2583384754538729,0.1454019317467498,0.37392089529082917,hydrilla,1.1710800889470234,1683.6217838294397,submersed,mgmt. + cover,3,348,yes,no
Rhynchospora spp.,cover,0.002389863928225911,-0.07131972315934233,0.07212115540848066,hydrilla,1.023191534514056,3000,emersed,hydrilla cover,1,149,no,no
Rhynchospora spp.,management,0.07229170179880214,-0.0527270042077951,0.19340466803679487,hydrilla,1.027500364225165,2891.6396586113115,emersed,hydrilla mgmt.,1,149,no,no
Rhynchospora spp.,net,0.1082111102944577,-0.006847440309125682,0.2218970800444999,hydrilla,1.027500364225165,2879.8716141923915,emersed,mgmt. + cover,1,149,no,no
Sacciolepis striata,cover,0.004948133958022426,-0.056248862435022674,0.06680358229545763,hydrilla,1.0479447669737119,2854.465692556049,emersed,hydrilla cover,1,150,no,no
Sacciolepis striata,management,-0.04511652122804018,-0.13838290825161725,0.05133322806694522,hydrilla,1.0759691372394464,2791.6388640531973,emersed,hydrilla mgmt.,1,150,no,no
Sacciolepis striata,net,-0.08351204041061233,-0.17371775223006125,0.009283839138442997,hydrilla,1.0759691372394464,2791.6388640531973,emersed,mgmt. + cover,1,150,no,no
Sagittaria lancifolia,cover,0.00403816961187726,-0.06298365540792981,0.07513991909159325,hydrilla,1.0151794483021155,3032.657780800604,emersed,hydrilla cover,1,151,no,no
Sagittaria lancifolia,management,0.18250549101711788,0.06659017287435885,0.29398551419993996,hydrilla,1.0006258521707674,2778.283500860722,emersed,hydrilla mgmt.,1,151,yes,yes
Sagittaria lancifolia,net,0.20276114970907144,0.08880380598677275,0.3131647962555012,hydrilla,1.0237102021441091,2778.283500860722,emersed,mgmt. + cover,1,151,yes,yes
Sagittaria latifolia,cover,0.0925711972211644,0.025715527180074572,0.15564979507524523,hydrilla,1.1593671675083779,3076.474282870487,emersed,hydrilla cover,1,152,yes,no
Sagittaria latifolia,management,0.08990808068701563,-0.02003481553761883,0.20791984774160227,hydrilla,1.1396369180214534,3050.3567064599056,emersed,hydrilla mgmt.,1,152,no,no
Sagittaria latifolia,net,0.2009426157743247,0.09637142469108018,0.3099624902613703,hydrilla,1.1593671675083779,3402.3092537124503,emersed,mgmt. + cover,1,152,yes,no
Sagittaria subulata/graminea/gracillima,cover,0.013363644363675781,-0.06856752184144155,0.09148114151459534,hydrilla,1.0004579886011142,2896.390678346846,emersed,hydrilla cover,1,153,no,no
Sagittaria subulata/graminea/gracillima,management,0.12113787955193571,-0.0111844791700932,0.25393136561352064,hydrilla,1.0046088386133376,2812.165597699144,emersed,hydrilla mgmt.,1,153,no,no
Sagittaria subulata/graminea/gracillima,net,0.1584700429935646,0.03920576498391598,0.28134751250360573,hydrilla,1.0046088386133376,2222.3064460916075,emersed,mgmt. + cover,1,153,yes,yes
Salix spp.,cover,-0.029845290939514525,-0.09639889320378221,0.040964113153100196,hydrilla,1.0067693197472734,3000,emersed,hydrilla cover,1,154,no,no
Salix spp.,management,0.11849210441199523,-0.005456409251259637,0.24573120901605944,hydrilla,1.0223046428004379,2860.695266876131,emersed,hydrilla mgmt.,1,154,no,no
